,Keras,PyTorch
AUC_Test,0.8434420935699708,0.8396264434627607
F1_Test,0.5829596412556054,0.5942028985507246
Accuracy_Test,0.8019872249822569,0.801277501774308
Tuning_Time_sec,327.7673885822296,112.49815487861632
